category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0002469	1	0.983029655887082	0	2	myeloid dendritic cell antigen processing and presentation	BP	1	1
GO:0002470	1	0.991380294911396	0	2	plasmacytoid dendritic cell antigen processing and presentation	BP	1	1
GO:0002472	1	0.991158773233664	0	1	macrophage antigen processing and presentation	BP	1	1
GO:0002474	1	0.823498229008729	0	30	antigen processing and presentation of peptide antigen via MHC class I	BP	1	1
GO:0002475	1	0.89745090112627	0	17	antigen processing and presentation via MHC class Ib	BP	1	1
GO:0002476	1	0.926336846190484	0	13	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	BP	1	1
GO:0002477	1	0.978336446731879	0	3	antigen processing and presentation of exogenous peptide antigen via MHC class Ib	BP	1	1
GO:0002478	1	0.825880472239724	0	28	antigen processing and presentation of exogenous peptide antigen	BP	1	1
GO:0002479	1	0.983766632629894	0	2	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	BP	1	1
GO:0002481	1	0.984993620185023	0	2	antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	BP	1	1
GO:0002483	1	0.865656728559131	0	21	antigen processing and presentation of endogenous peptide antigen	BP	1	1
GO:0002484	1	0.926336846190484	0	13	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	BP	1	1
GO:0002485	1	0.99185067772604	0	1	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	BP	1	1
GO:0002486	1	0.933952279644049	0	12	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	BP	1	1
GO:0002488	1	0.985147549744858	0	2	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway	BP	1	1
GO:0002489	1	0.985147549744858	0	2	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	BP	1	1
GO:0002491	1	0.983029655887082	0	2	antigen processing and presentation of endogenous peptide antigen via MHC class II	BP	1	1
GO:0002495	1	0.859914522511144	0	23	antigen processing and presentation of peptide antigen via MHC class II	BP	1	1
GO:0002501	1	0.914231971596693	0	13	peptide antigen assembly with MHC protein complex	BP	1	1
GO:0002502	1	0.978638396181807	0	3	peptide antigen assembly with MHC class I protein complex	BP	1	1
GO:0002503	1	0.934199262536624	0	10	peptide antigen assembly with MHC class II protein complex	BP	1	1
GO:0002504	1	0.84503550069536	0	25	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	BP	1	1
GO:0002505	1	0.991485038221083	0	1	antigen processing and presentation of polysaccharide antigen via MHC class II	BP	1	1
GO:0002508	1	0.986240248217329	0	2	central tolerance induction	BP	1	1
GO:0002509	1	0.992927062043427	0	1	central tolerance induction to self antigen	BP	1	1
